"","legper","party_name","originalname","fullname","nickname","surname","shared","lengthofname","match","alternativematch"
"75",8,"Fine Gael","Mr. Sean Broderick","Sean Broderick",NA,"Broderick",1,2,"Deputy Sean Broderick",NA
"76",8,"The Labour Party","Mr. Patrick Hogan","Patrick Hogan",NA,"Hogan",1,2,"Deputy Patrick Hogan",NA
"77",8,"Fianna Fáil","Mr. Matthew O'Reilly","Matthew O'Reilly",NA,"O'Reilly",1,2,"Deputy Matthew O'Reilly",NA
"78",8,"Fianna Fáil","Mr. John Flynn","John Flynn",NA,"Flynn",1,2,"Deputy John Flynn",NA
"79",8,"Fine Gael","Mr. Patrick Burke","Patrick Burke",NA,"Burke",1,2,"Deputy Patrick Burke",NA
"80",8,"Sinn Féin","Mr. Thomas Kelly","Thomas Kelly",NA,"Kelly",1,2,"Deputy Thomas Kelly",NA
"81",8,"Fianna Fáil","Mr. Daniel Bourke","Daniel Bourke",NA,"Bourke",1,2,"Deputy Daniel Bourke",NA
"82",8,"Fianna Fáil","Mr. Stephen Flynn","Stephen Flynn",NA,"Flynn",1,2,"Deputy Stephen Flynn",NA
"83",8,"Sinn Féin","Mr. Gearóid O'Sullivan","Gearóid O'Sullivan",NA,"O'Sullivan",1,2,"Deputy Gearóid O'Sullivan",NA
"84",8,"National League","Mr. Vincent Rice","Vincent Rice",NA,"Rice",1,2,"Deputy Vincent Rice",NA
"85",8,"Fianna Fáil","Mr. Edward Rice","Edward Rice",NA,"Rice",1,2,"Deputy Edward Rice",NA
"86",8,"Fianna Fáil","Mr. Brian Brady","Brian Brady",NA,"Brady",1,2,"Deputy Brian Brady",NA
"87",8,"Fianna Fáil","Mr. Sean Brady","Sean Brady",NA,"Brady",1,2,"Deputy Sean Brady",NA
"88",8,"Fianna Fáil","Mr. Tadhg Crowley","Tadhg Crowley",NA,"Crowley",1,2,"Deputy Tadhg Crowley",NA
"89",8,"Fianna Fáil","Mr. Robert Ryan","Robert Ryan",NA,"Ryan",1,2,"Deputy Robert Ryan",NA
